Respondent,Grade,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral,Attention,Brow Furrow,Brow Raise,Cheek Raise,Chin Raise,Dimpler,Eye Closure,Eye Widen,Inner Brow Raise,Jaw Drop,Lip Corner Depressor,Lip Press,Lip Pucker,Lip Stretch,Lip Suck,Lid Tighten,Mouth Open,Nose Wrinkle,Smile,Smirk,Upper Lip Raise,Pitch,Yaw,Roll,Grade Group
001,100,1.472177863,0.219451681,0.493052125,0.795871139,0.025775785,0.127889737,0.078672267,46.72386169,0.0,0.522895753,0.469381005,97.05564117,46.21811295,0.005009225,0.271744996,0.206655756,0.263251483,0.0,0.122383915,0.226945475,0.469381005,7.507586002,7.7e-05,23.48448181,3.190364838,0.012189007,0.012385538,0.025224589,91.2308197,0.005762071,0.522895753,1.659189701,0.022547096,15.06343079,-22.75782585,7.780222416,Above 55
001,100,6.971692085,0.185721457,0.651892304,6.282443523,0.024562413,0.124457233,0.925140858,61.80231094,0.0,0.045478195,0.069356024,86.05662537,98.64837646,0.069356024,1.180979729,0.148746252,0.000112555,0.0,1.33e-05,49.16540909,0.045478195,17.43968773,4.24e-07,0.000137828,19.0769062,0.001044602,0.000192708,0.011083491,98.14019775,0.240788773,0.12037497,0.0,0.564279675,-12.45512295,-0.548732638,0.147190109,Above 55
001,100,0.71030879,0.191064686,0.024609344,0.828707099,0.024457885,0.126376674,0.392676622,0.328766108,0.0,0.049884725,0.009579897,98.34259033,98.69605255,0.049884725,0.019312292,0.069853388,0.015289206,0.009579897,8.18e-06,47.10951614,0.006409514,0.000652319,0.000326151,0.008810643,0.009385528,0.0340553,0.003872542,0.00202348,0.192092985,0.291690737,0.122204006,0.0,0.129250824,-2.505165339,-0.366738588,0.526051044,Above 55
001,100,0.138936535,0.194903389,0.025130896,0.138451323,0.024247224,0.129589796,0.059437938,0.328766108,0.0,0.036700562,0.030115612,99.61018372,98.78296661,0.581612527,0.010323769,0.085656323,0.022785749,0.030115612,0.000189812,1.72045517,0.009960742,0.001702128,0.001187611,0.010054003,0.026717799,0.039575491,0.007516351,0.007435764,0.424391985,0.429062784,0.036700562,0.0,0.195747241,-1.561157823,-0.0174665,0.900887251,Above 55
001,100,6.465106487,0.186258793,0.045990858,8.289468765,0.025478745,0.125520274,3.144316435,0.328766108,0.0,0.138919532,0.138919532,83.42105865,97.09816742,0.138919532,0.20413208,0.183974206,0.003601772,0.0,1.72e-05,97.08309174,0.03889598,0.410863757,4.35e-06,0.000969013,0.181086957,0.012567812,0.002741205,0.00310468,19.33796692,0.281298846,0.430581868,0.0,0.110537603,-8.689405441,-4.448103428,0.617001653,Above 55
001,100,3.536038876,0.191340774,0.104673326,3.81366396,0.024111623,0.126541883,0.806391716,1.889574766,0.0,0.022213046,0.049117543,92.37266541,97.87526703,0.049117543,0.260646671,0.015207971,3.67e-05,0.0,5.22e-06,63.82838058,0.011645113,0.405104876,1.56e-07,8.98e-06,0.369256884,0.000260526,0.001270212,0.006937125,43.92034531,0.133300677,0.022213046,0.0,0.051115241,-9.618501663,-2.849775314,-2.151724339,Above 55
001,100,0.512771606,0.186465278,0.04267817,0.505233824,0.025295973,0.170440361,0.236344665,6.579030514,0.0,0.34359923,0.074477233,98.97445679,95.41719818,0.020631995,0.302393347,0.228311613,16.64445877,0.125552177,1.05e-06,34.5803299,0.027026471,0.003823586,0.074477233,0.305171877,0.467958778,0.248136297,60.01298523,0.000341727,0.022571808,0.193381026,0.34359923,0.0,0.42377463,-20.51226807,6.82025528,1.188797712,Above 55
001,100,1.061862111,0.102677584,0.044720139,1.149651289,0.062222127,0.094872169,0.456867695,0.511645854,2.523401499,0.348048419,0.118926927,97.70069122,98.13954163,0.118926927,0.016182005,0.167004734,0.020695554,0.0,8.54e-06,50.16776276,0.005190631,0.59600085,2.44e-05,0.027544349,0.035053816,0.026845213,0.348048419,0.005154514,25.08557701,1.132140994,8.43830204,0.0,0.183181882,-5.100233555,-2.172151804,-3.390966892,Above 55
001,100,0.078997292,0.020013958,0.146478206,14.79253292,0.025932014,0.0620302,6.738811016,98.96933746,0.0,0.174461737,9.947126389,70.41493988,4.432249546,0.018904837,94.18585968,0.957567513,0.174461737,0.0,4.315589905,0.988154411,18.84283066,2.922671556,0.022457756,0.029412284,9.947126389,0.001589152,0.041615754,0.024259709,55.95140076,0.268250287,0.195966005,0.965421319,4.901098728,7.834902287,37.35464096,-2.43904829,Above 55
001,100,0.25954017,0.183955014,0.030077115,0.273481756,0.025533363,0.123823456,0.109236911,0.328766108,0.0,0.390227407,0.065968744,99.45303345,96.66566467,0.065968744,1.029221416,0.301299304,0.005235217,10.58415127,99.56087494,15.21515751,0.009582139,0.106516004,1.11e-06,0.001201098,0.002361494,0.027335631,0.393399239,0.731344998,6.893793583,0.150639296,0.390227407,0.065465167,0.00281977,-5.601985931,5.165065765,9.596656799,Above 55
